activityid,age,gender,autosuf,numhouseholdpersons,income,oduden,oempden,ototint,dempden,sovdrivetime,hovdrivetime,tolldrivetime,tollcostsov,tollcosthov2,tollcosthov3,walkttime,walktotransitutility,drivetotransitutility,parkingcost,parkingwalktime,sovcost,hovcost,tollcost,tourpurpose,tourmode,firststop,laststop,zerototalstops,targettripmode
13444429,6,False,1,4,2,4.98199987411499,6.52114009857178,10.0,6.69818878173828,11.5105591936564,11.5105591936564,11.5105591936564,0.0,0.0,0.0,37.1332202132606,-999.0,-999.0,0.0,0.0,161.529504386384,161.529504386384,161.529504386384,0,3,False,False,True,3
9807546,4,False,2,3,3,3.97499990463257,45.3739433288574,1.0,33.1654396057129,27.1848988314863,27.1848988314863,27.1848988314863,0.0,0.0,0.0,94.6962146429658,-999.0,-999.0,0.0,0.0,411.928524665966,411.928524665966,411.928524665966,0,3,True,False,False,1
10759978,4,True,2,2,2,0.066200003027916,8.37276935577393,2.0,8.35477924346924,0.902378889180218,0.902378889180218,0.902378889180218,0.0,0.0,0.0,1.50396485252048,-999.0,-999.0,0.0,0.0,6.54224696503483,6.54224696503483,6.54224696503483,4,1,False,False,True,1
14754748,4,False,1,9,2,4.03889989852905,57.1234970092773,11.0,123.665267944336,28.0880197037342,28.0880197037342,28.0880197037342,0.0,0.0,0.0,106.991229575838,-999.0,-999.0,0.0,0.0,465.411838451415,465.411838451415,465.411838451415,0,1,False,False,True,1
405022,6,True,1,3,3,8.28929996490479,15.3018474578857,9.0,3.68856596946716,9.89879182532605,9.89879182532605,9.89879182532605,0.0,0.0,0.0,24.5625707479355,-999.0,-999.0,0.0,0.0,106.84718041105,106.84718041105,106.84718041105,0,1,True,False,False,1
7617340,3,True,2,5,2,4.28070020675659,92.3147888183594,11.0,18.4527130126953,14.7857859756658,14.7857859756658,14.7857859756658,0.0,0.0,0.0,44.5779236560467,-999.0,-999.0,0.0,0.0,193.913963652521,193.913963652521,193.913963652521,0,1,False,False,True,1
11951127,4,False,1,4,3,6.31029987335205,5.91391468048096,4.0,131.830474853516,12.3008353654182,12.3008353654182,12.3008353654182,0.0,0.0,0.0,34.7258666028907,-999.0,-999.0,0.0,0.0,151.057516410858,151.057516410858,151.057516410858,0,3,False,False,True,3
15552136,3,False,2,1,1,5.53550004959106,10.0838146209717,8.0,2.4927020072937,8.3378395963462,8.3378395963462,8.3378395963462,0.0,0.0,0.0,15.9441222247029,-999.0,-999.0,0.0,0.0,69.3569301569076,69.3569301569076,69.3569301569076,0,1,False,False,True,1
13468145,4,True,2,6,3,18.1289005279541,500.441558837891,14.0,8.17436218261719,25.6031986194999,25.6031986194999,25.6031986194999,0.0,0.0,0.0,89.0801858576452,-999.0,-999.0,0.0,0.0,387.498799985408,387.498799985408,387.498799985408,0,3,False,False,True,3
2430010,6,False,1,4,3,0.484200000762939,5.57099962234497,11.0,6.10083436965942,1.66714978845499,1.66714978845499,1.66714978845499,0.0,0.0,0.0,2.16504428495036,-999.0,-999.0,0.0,0.0,9.41794243305935,9.41794243305935,9.41794243305935,0,1,True,False,False,1
971904,4,False,1,4,4,0.0573999993503094,9.67519950866699,26.0,2.71735382080078,20.1698786330409,20.1698786330409,20.1698786330409,0.0,0.0,0.0,72.1033079653781,-999.0,-999.0,0.0,0.0,313.649382773087,313.649382773087,313.649382773087,0,5,False,False,True,5
14628035,3,False,1,2,5,2.7146999835968,27.6347827911377,23.0,125.482376098633,12.4988136435645,12.4988136435645,12.4988136435645,0.0,0.0,0.0,29.6910481355653,-999.0,-999.0,0.0,0.0,129.15605655815,129.15605655815,129.15605655815,0,1,True,False,False,1
5604078,7,False,2,4,2,6.06529998779297,35.226001739502,1.0,9.59882068634033,29.652920242913,29.652920242913,29.652920242913,0.0,0.0,0.0,110.72925225753,-999.0,-999.0,0.0,0.0,481.672236760291,481.672236760291,481.672236760291,0,1,False,False,False,1
2649454,6,True,1,6,5,2.63560009002686,14.3777322769165,11.0,36.9056015014648,22.6826073623282,22.4072395244327,22.6826073623282,0.0,0.0,0.0,88.5325089808415,-999.0,-999.0,0.0,0.0,385.116405623543,377.582703106577,385.116405623543,0,5,False,False,False,1
11340537,4,True,1,2,2,20.1406993865967,161.691253662109,13.0,15.6277198791504,18.3624651992063,18.3624651992063,18.3624651992063,0.0,0.0,0.0,61.3021478089788,-999.0,-999.0,0.0,0.0,266.664337122829,266.664337122829,266.664337122829,0,1,False,False,False,1
3385028,4,False,2,4,2,10.038200378418,21.694429397583,9.0,4.78519296646118,13.9375900882829,13.9375900882829,13.9375900882829,0.0,0.0,0.0,46.6925949270307,-999.0,-999.0,0.0,0.0,203.112783479631,203.112783479631,203.112783479631,0,3,False,False,False,1
33497,4,True,2,3,2,4.51999998092651,24.8794822692871,27.0,139.610198974609,16.5045604410545,16.5045604410545,16.5045604410545,0.0,0.0,0.0,56.1499972347681,-999.0,-999.0,0.0,0.0,244.25248261636,244.25248261636,244.25248261636,0,3,False,False,False,1
15252322,6,False,2,4,5,9.785400390625,28.9109363555908,4.0,45.0032806396484,10.653131228014,10.653131228014,10.653131228014,0.0,0.0,0.0,36.7100598195475,-999.0,-999.0,0.0,0.0,159.688756714087,159.688756714087,159.688756714087,0,1,False,False,False,1
14154672,4,True,2,6,3,26.444299697876,46.5718040466309,14.0,17.0669784545898,21.1012421314107,21.1012421314107,21.1012421314107,0.0,0.0,0.0,74.8427658768754,-999.0,-999.0,0.0,0.0,325.566024426846,325.566024426846,325.566024426846,0,5,False,False,True,5
11301600,2,True,1,3,3,4.55319976806641,5.76198863983154,10.0,38.2775268554688,5.12286511480117,5.12286511480117,5.12286511480117,0.0,0.0,0.0,13.4282105301122,-999.0,-999.0,0.0,0.0,58.412714525374,58.412714525374,58.412714525374,2,3,False,False,True,3
4328004,7,False,2,2,1,13.0787000656128,18.2752113342285,4.0,46.5124893188477,18.9954216061626,18.9954216061626,18.9954216061626,0.0,0.0,0.0,60.0730287201545,-999.0,-999.0,0.0,0.0,261.317669203662,261.317669203662,261.317669203662,0,1,False,False,True,1
